,1,0.1,0.01,0.001
0,0.715169983,0.719770345,0.719398388,0.719456772
1,0.72935424,0.735211409,0.736439603,0.736487161
2,0.714488319,0.719971113,0.720486711,0.720552538
3,0.722241619,0.724781137,0.724562293,0.72461884
4,0.716002247,0.721379873,0.722043268,0.722107065
5,0.727614895,0.73206746,0.732528637,0.732583928
6,0.716097943,0.724194202,0.724574666,0.724636336
7,0.70561702,0.66828731,0.662653626,0.662692677
8,0.725227234,0.730142523,0.73028829,0.730327825
9,0.737017548,0.742695794,0.744082128,0.744126399
